Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
Produkty zwierz¹t hodowlanych;Torby podrêczne;Przewodniki piorunochronowe;Peruki;Sprê¿arki powietrza
Œwie¿e mleko owiec i kóz;Skóra i tkaniny w³ókiennicze, tworzywa sztuczne i guma;Ochronniki przepiêciowe;Zestawy kosmetyków;Wbudowane sprê¿arki powietrza
Kostrzewa owcza;Skóra wyprawiona;Magistrale;Artyku³y i preparaty do higieny jamy ustnej lub zêbów;Turbosprê¿arki
Mleko kozie;Skóra zamszowa;Skrzynki zabezpieczaj¹ce;Szczoteczki do zêbów;Sprê¿arki wyporowo-t³okowe
We³na i sierœæ zwierzêca;Skóra bydlêca lub ze zwierz¹t parzystokopytnych;Elementy sk³adowe obwodów elektrycznych;Pasta do zêbów;Uk³ady sprê¿onego powietrza
We³na zgrzebna;Skóra owiec, kóz lub œwiñ;Prze³¹czniki elektryczne;Wyka³aczki;Sprê¿arki wirowe
Sierœæ zwierzêca;Skóra owiec lub jagni¹t;PrzekaŸniki mocy;P³yn do p³ukania ust;Sprê¿arki do u¿ytku w cywilnych statkach powietrznych
Œwie¿e mleko krowie;Skóra kóz lub koŸl¹t;PrzekaŸniki ogólnego przeznaczenia;Odœwie¿acze oddechu;Czêœci pomp, sprê¿arek, generatorów mocy lub silników
Zawieszki do kolczykowania zwierz¹t;Skóra œwiñska;PrzekaŸniki gniazdowe;Niæ dentystyczna;Czêœci generatorów mocy lub silników
Zawieszki do kolczykowania byd³a;Skóra innych zwierz¹t, skóra wtórna i inna skóra;PrzekaŸniki pr¹du przemiennego;Smoczki i gryzaczki dla niemowl¹t;Czêœci pneumatycznych generatorów mocy lub silników
Leœnictwo i pozyskiwanie drewna;Skóra z innych zwierz¹t;PrzekaŸniki rtêciowe;Tabletki do czyszczenia protez zêbowych;Czêœci hydraulicznych generatorów mocy lub silników
Drewno;Skóra wtórna;PrzekaŸniki czasowe;Zestawy do zêbów;Czêœci silników reakcyjnych
Drewno drzew iglastych;Imitacja skóry;PrzekaŸniki nadmiarowe;Preparaty do golenia;Czêœci pomp lub podnoœników cieczy
Drewno z drzew tropikalnych;Skóra lakierowana;Oprawy do lamp;Kremy do golenia;Czêœci pomp paliwowych, rêcznych i do betonu
Drewno opa³owe;Paski do zegarków;Pod³¹czenia i elementy stykowe;Myd³o;Czêœci pomp paliwowych
Drewno surowe;Wyroby skórzane u¿ywane w maszynach lub urz¹dzeniach mechanicznych;Wtyki i gniazda;Prezerwatywy;Czêœci pomp rêcznych
Drewno miêkkie;Tkaniny w³ókiennicze i podobne;Pod³¹czenia koncentryczne;Produkty do pielêgnacji stóp;Czêœci pomp do betonu
Odpady drzewne;Tkaniny tkane;Skrzynki przy³¹czeniowe;Golarki i zestawy do manikiuru lub pedikiuru;Czêœci t³okowych pomp wyporowych
Wióry drzewne;Syntetyczne tkaniny tkane;Kable przy³¹czeniowe;Golarki;Czêœci uk³adów hydraulicznych
Trociny;Tkaniny z w³ókien mieszanych;Terminale;¯yletki;Czêœci pomp podawczych
D³u¿yce;Tkaniny bawe³niane;Œciemniacze;Maszynki do golenia;Czêœci obrotowych pomp wyporowo-t³okowych
Drewno twarde;Tkaniny materacowe;Puszki po³¹czeniowe;Zestawy do manikiuru i pedikiuru;Czêœci pomp wirowych
Drewno ciête;Drelich;Zestawy przy³¹czeniowe do kabli;Zestawy do manikiuru;Czêœci pomp powietrza lub pró¿niowych, sprê¿arek gazu lub powietrza
Produkty z drewna ciêtego;P³ótna;Przed³u¿acze;Przybory do manikiuru;Czêœci pomp powietrza
Drewno kopalniane;Tkaniny p³ócienne;Czêœci aparatury do przesy³u i eksploatacji energii elektrycznej;Zestawy do pedikiuru;Czêœci pomp pró¿niowych
Kauczuk;Popelina;Drut i kabel izolowany;Przybory do pedikiuru;Czêœci sprê¿arek powietrza
¯ywice;Tkaniny tapicerskie;Sieci zasilaj¹ce;Klamerki;Czêœci sprê¿arek gazu
Laka;Pasy tapicerskie;Pod³¹czenia energetyczne;Produkty do pielêgnacji oczu i soczewki korekcyjne;Krany, kurki, zawory i podobna armatura
Korek;Tkaniny we³niane;Kable energetyczne;Soczewki kontaktowe;Krany, kurki i zawory
Korek naturalny;Tkaniny bieliŸniane;Linie energetyczne;Soczewki korekcyjne;Zawory funkcyjne
Wyroby koszykarskie;Bielizna;Napowietrzne linie energetyczne;Soczewki œródoczne;Zawory do grzejników centralnego ogrzewania
Wyroby wikliniarskie;Tkaniny specjalne;Kabel niskiego i œredniego napiêcia;Soczewki okularowe;Zawory œluzowe
Produkty leœnictwa;Okrywa w³ókienna;Kabel niskiego napiêcia;P³yny do soczewek kontaktowych;Regulatory temperatury
Roœliny ozdobne, trawy, mchy lub porosty;Tkaniny strzy¿one;Kabel œredniego napiêcia;Okulary przeciws³oneczne;Zawory obni¿aj¹ce ciœnienie, steruj¹ce, kontrolne lub bezpieczeñstwa
Produkty szkó³ek leœnych;Tkaniny tapicerskie;Kabel wysokiego napiêcia;Okulary;Zawory obni¿aj¹ce ciœnienie
Roœliny;Tkaniny zas³onowe;Kabel podwodny;Oprawy i ramki do okularów;Zawory steruj¹ce
Roœliny na œció³kê;Tkaniny podszewkowe;Kabel podmorski;Szk³o okularowe;Zawory kontrolne upustowe
Cebulki kwiatowe;Tkaniny dziane lub szyde³kowane;Kabel z os³on¹;Gogle;Zawory steruj¹ce procesem
Krzewy;Tkaniny dziane;Kable sygnalizacyjne;Gogle ochronne;Zawory kontrolne
Drzewa;Tkaniny z okryw¹ w³ókienn¹;Kabel koncentryczny;Oprawy i ramki do gogli;Zawory jednodrogowe
Masa papiernicza;Tkaniny szyde³kowane;Akcesoria do kabli izolowanych;Produkty do pielêgnacji r¹k i paznokci;Zawory bezpieczeñstwa
Œcier drzewny;Tkaniny;Izolowane szpule do kabli;Produkty do pielêgnacji r¹k;Zawory odcinaj¹ce
Chemiczny œcier drzewny;Tkaniny inne ni¿ tkane;Izolowane przy³¹cza kablowe;Œrodek do mycia r¹k;Zawory hydrantowe
Produkty naftowe, paliwo, energia elektryczna i inne Ÿród³a energii;We³na zwierzêca, skóry i skórki;Izolowane z³¹cza kablowe;P³yny do r¹k i cia³a;Hydranty
Paliwa;We³na;Izolowane rozga³êzienia kabli;Œrodek odka¿aj¹cy do r¹k;Zawory wylotowe cylindrów gazowych
Paliwa sta³e;Skórki zwierzêce;Przewodniki elektryczne do celów przetwarzania danych i sterowania;Produkty do pielêgnacji paznokci;Zawory konstrukcyjne
Wêgiel i paliwa na bazie wêgla;Skóry i pióra ptasie;Elektryczne przewodniki do systemów kontroli dostêpu;Obcinarki do paznokci;Zawory szczelinowe
Wêgiel (minera³);Przêdza i niæ w³ókiennicza;Akumulatory, komory galwaniczne i baterie galwaniczne;Œrodek nadaj¹cy po³ysk paznokciom;Zawory dyszowe
Paliwa na bazie wêgla;W³ókna tkane naturalne;Komory galwaniczne;Produkty do pielêgnacji niemowl¹t;Zawory zasuwowe
Wêgiel kamienny;W³ókna tkane sztuczne;Baterie alkaliczne;Chusteczki jednorazowe;Zawory talerzowe o kad³ubie kulistym
Brykiety;Przêdza w³ókiennicza i niæ z w³ókien naturalnych;Baterie galwaniczne;Podk³adka do pielêgnacji;Zawory iglicowe
Paliwa kopalne;Przêdza jedwabna;Baterie o³owiowe;Papier toaletowy, chusteczki higieniczne, rêczniki do r¹k i serwety;Zawory kulowe
Paliwa drzewne;W³ókno przêdne we³niane;Zestawy baterii;Papier toaletowy;Zawory gniazdowe
Wêgiel brunatny i torf;Przêdza bawe³niana;Akumulatory elektryczne;Chusteczki higieniczne papierowe;Zawory motylkowe
Wêgiel brunatny;Przêdza lniana;Akumulatory o³owiowo-kwasowe;Rêczniki papierowe do r¹k;Zawory membranowe
Torf;Nici do szycia i przêdza z w³ókien naturalnych;Akumulatory niklowo-kadmowe;Serwetki papierowe;Zawory œlizgowe
Koks;Nici do szycia;Akumulatory niklowo-¿elazowe;Artyku³y higieniczne z papieru;Zawory dotykowe
Paliwa gazowe;Przêdza dziewiarska;Akumulatory litowe;Toaletowe produkty z papieru;Konstrukcje szkieletowe i inne zestawy zaworów
Gaz wêglowy, gaz zasilaj¹cy/sieciowy lub podobne gazy;Przêdza z w³ókien roœlinnych;Baterie;Podpaski lub tampony;Wiertnica naftowa
Gaz wêglowy lub podobne gazy;Niæ lub przêdza syntetyczna;Urz¹dzenia oœwietleniowe i lampy elektryczne;Pieluszki dla niemowl¹t;D³awiki rury rozga³êŸnej
Gaz zasilaj¹cy;Przêdza syntetyczna;¯arówki elektryczne;Jednorazowe wyroby papierowe;Osprzêt zaworowy
Propan i butan;Niæ syntetyczna;Zestawy nierozbieralnych wk³adów reflektorów;Laboratoryjne, higieniczne lub farmaceutyczne wyroby szklane;Kurki, krany sanitarne
Propan;Syntetyczna niæ do szycia;Lampy halogenowe z ¿arnikiem wolframowym;Higieniczne wyroby szklane;Czêœci kurków i zaworów
Propan skroplony;Syntetyczna przêdza dziewiarska;¯arówki halogenowe, liniowe;Farmaceutyczne wyroby szklane;Si³owniki zaworowe
Butan;Guma i tworzywa sztuczne;¯arówki halogenowe, dwuwtykowe;Laboratoryjne wyroby szklane;Elektryczne si³owniki zaworowe
Butan skroplony;Produkty z gumy;¯arówki halogenowe, dwubarwne;Sprzêt i artyku³y do u¿ytku post mortem oraz w kostnicach;Hydrauliczne si³owniki zaworowe
Gaz ziemny;Dêtki, bie¿niki i ochraniacze dêtek;Lampy wy³adowcze;Przyrz¹dy i artyku³y do przeprowadzania sekcji w przypadkach patologicznych;Pneumatyczne si³owniki zaworowe
Ropa naftowa i destylaty;Ochraniacze opon;Lampy ultrafioletowe;No¿yczki do autopsji;Czêœci kurków
Nafta lotnicza;Dêtki;Lampy podczerwieni;Zestawy do autopsji;Czêœci zaworów
Naftowe paliwa lotnicze;Bie¿niki;Lampy ³ukowe;Szczypczyki do autopsji;Przek³adnie, przek³adnie zêbate i elementy napêdowe
Benzyna;Wyroby z gumy niewulkanizowanej;Œwiat³a sygnalizacyjne;Zg³êbniki do wyci¹gania pocisków podczas autopsji;Przek³adnie œlizgowe, przek³adnie zêbate i elementy napêdowe
Benzyna bezo³owiowa;Gumowane tkaniny w³ókiennicze;Reflektory przeciwmgielne;Nici, ig³y i zaciski do autopsji;Wa³y transmisyjne, krzywkowe i wykorbione
Benzyna o³owiowa;Tkaniny z kordu oponowego;Oœwietlenie awaryjne;Nici do autopsji;Wa³y przek³adniowe
Benzyna z etanolem;Taœma przylepna z gumowanych materia³ów w³ókienniczych;Oœwietlenie burzowe;Ig³y do autopsji;Wa³y krzywkowe
Skroplony gaz ropopochodny (LPG);Guma wtórna;Pa³ki œwietlne;Zaciski do naciêæ do autopsji;Wa³y wykorbione
Oleje napêdowe;Produkty z tworzyw sztucznych;Oœwietlenie dachowe;Przyrz¹dy do ¿y³ do autopsji;Obudowy ³o¿ysk
Olej napêdowy;Produkty z polistyrenu;Lampy rtêciowe;Brzeszczoty pi³ lub akcesoria do autopsji;Przek³adnie i przek³adnie zêbate
Paliwo diesla;Os³ony z polistyrenu;Szperacze;Pi³y do autopsji;Bloczki i ciêgna
Paliwo do silników diesla (0,2);Sztaby z polistyrenu;Lampy ¿arowe i neonowe;Deski i podk³adki do sekcji;Wci¹garki
Paliwo do silników diesla (EN 590);¯ywice naturalne;Lampy ¿arowe;Kasety na przybory chirurgiczne lub akcesoria u¿ywane post mortem;Sprzêg³a
Biodiesel;¯ywice epoksydowe;Lampy neonowe;Zwijane zestawy przyborów chirurgicznych i akcesoriów u¿ywanych post mortem;Bloczki
Biodiesel (B20);Przewody rurowe z ¿ywic epoksydowych;Lampy i oprawy oœwietleniowe;Sprzêt i artyku³y do autopsji;Zblocza sprzêg³a
Biodiesel (B100);Odpady skórzane, w³ókiennicze, gumowe i tworzyw sztucznych;Lampy;Kolektory py³u kostnego;Z³¹cza uniwersalne
Oleje opa³owe;Odpady skórzane;Lampy na biurko;Worki do przewozu zw³ok;Czêœci przek³adni i elementów napêdowych
Olej opa³owy;Odpady w³ókiennicze;Lampy stoj¹ce;Oparcia na g³owê, deski na zw³oki lub wagi wisz¹ce do autopsji;Czêœci przek³adni zêbatych
Niskosiarkowe oleje palne;Odpady gumowe;Przenoœne lampy elektryczne;Oparcia na g³owê do autopsji;Czêœci elementów napêdowych
Ropa naftowa, wêgiel i produkty naftowe;Torebki i torby z odpadów i resztek polietylenu;Reflektory ostrzegawcze;Deski na zw³oki do autopsji;Reaktory j¹drowe i czêœci reaktorów j¹drowych
Preparaty smarowe;Kauczuk syntetyczny i w³ókna;Latarki;Wagi wisz¹ce do autopsji;Reaktory j¹drowe
Oleje smarowe i œrodki smarowe;Kauczuk syntetyczny;Przenoœne lampy elektryczne na akumulatory;Zestawy do autopsji w przypadku chorób zakaŸnych;Czêœci reaktorów j¹drowych
Oleje silnikowe;W³ókna syntetyczne;Lampki choinkowe;Zawieszki lub bransolety identyfikacyjne u¿ywane post mortem;Uk³ady ch³odzenia reaktorów
Oleje smarowe do sprê¿arek;Kabel z w³ókna ci¹g³ego syntetycznego;Podœwietlane znaki i szyldy;Pró¿niowe ssawki i rurki zbieraj¹ce p³yn w trakcie autopsji;Czêœci zbiorników reaktora j¹drowego
Oleje smarowe do turbin;Przêdza wysokowytrzyma³a;Neony reklamowe;Termometry odbytnicze u¿ywane post mortem;Uk³ady kot³ów grzewczych
Oleje do kó³ zêbatych;Przêdza pojedyncza;Trwa³e znaki informacyjne;Przybory do poœmiertnego prostowania palców;Kot³y grzewcze wody gor¹cej
Reduktor ropy;Syntetyczne w³ókno pojedyncze;Podœwietlane szyldy;Zestawy wype³niaczy tkanek w zw³okach;Kot³y grzewcze wytwarzaj¹ce parê
Oleje do u¿ytku w uk³adach hydraulicznych i do innych celów;W³ókna sztuczne;Oprawy oœwietleniowe sufitowe lub œcienne;Meble do autopsji;Generatory pary
P³yny do celów hydraulicznych;Sztuczne w³ókna odcinkowe;Oprawy oœwietleniowe sufitowe;Stacje robocze lub akcesoria do autopsji;Uk³ady pomocnicze do kot³ów grzewczych
Oleje smarowe wewnêtrzne;Polipropylen;Lampy u¿ywane na salach operacyjnych;Zlewy lub akcesoria do autopsji;Skraplacze pary
Oleje przeciwkorozyjne;Sztuczna przêdza teksturowana;Oœwietlenie sufitowe;Sto³y lub akcesoria do przeprowadzania autopsji;Maszyny do obróbki ¿ywnoœci, napojów i tytoniu oraz podobne czêœci
Oleje elektroizolacyjne;Druki i produkty podobne;Oprawy oœwietleniowe œcienne;Sto³y do przeprowadzania autopsji;Maszyny do przetwarzania ¿ywnoœci, napojów i tytoniu
P³yny hamulcowe;Drukowane ksi¹¿ki, broszury i ulotki;Oœwietlenie œcienne;Sto³y lub akcesoria do przeprowadzania nekroskopii;Maszyny mleczarskie
Oleje bia³e i parafina ciek³a;Drukowane ksi¹¿ki;Reflektory punktowe;Sto³y lub akcesoria do przeprowadzania sekcji zwierz¹t;Wirówki do oddzielania œmietany
Oleje wazelinowe;Podrêczniki szkolne;Oœwietlenie zewnêtrzne;Stacje robocze lub akcesoria do balsamowania;Maszyny do obróbki zbó¿ lub suszonych warzyw
Parafiny ciek³e;Czytanki;Latarnie;Stacje robocze lub akcesoria do autopsji z odci¹giem;Maszyny u¿ywane do produkcji napojów alkoholowych lub owocowych
Oleje i preparaty z ropy naftowej;Ksi¹¿ki biblioteczne;Systemy oœwietleniowe;Sprzêt i artyku³y do transportu i przechowywania zw³ok;Piece kuchenne, suszarki do produktów rolnych oraz urz¹dzenia do gotowania lub podgrzewania
Oleje lekkie;S³owniki, mapy, zeszyty nutowe i inne ksi¹¿ki;Platformy oœwietleniowe;Stojaki do przechowywania zw³ok;Piece kuchenne
Oleje z ropy naftowej;S³owniki;Oœwietlenie domowe;Œrodki transportu zw³ok;Grille
Oleje smaruj¹ce trakcyjne;Atlasy;Oœwietlenie podwodne;Podnoszone no¿ycowo wózki do zw³ok;Suszarki do produktów rolnych
Wazelina, woski i benzyny specjalne;Mapy;Czêœci lamp i sprzêtu oœwietleniowego;Szafy ch³odnicze lub zamra¿arki do kostnic;Maszyny do przemys³owego przygotowywania lub produkcji ¿ywnoœci lub napojów
Wazelina i woski;Mapy kadastralne;¯arówki;Komory ch³odnicze do kostnic;Maszyny do krojenia ¿ywnoœci
Wazelina;Œwiat³okopie;¯arówki oœwietleniowe;Wózki do autopsji;Krajalnice do chleba
Parafina;Zeszyty nutowe;Czêœci lamp i opraw oœwietleniowych;Tace na zw³oki;Krajalnice do bekonu
Wosk;Encyklopedie;¯arówki rurkowe;Urz¹dzenia do podnoszenia lub transportu zw³ok;Maszyny do przetwarzania ¿ywnoœci
Pozosta³oœci ropy naftowej;Wydawnictwa;Œwietlówki rurkowe;Pojemniki do transportu zw³ok;Maszyny do robienia ciasta makaronowego
Spirytus absolutny;Wydawnictwa techniczne;Œwietlówki rurkowe kompaktowe;Sprzêt i artyku³y dla medycyny s¹dowej;Maszyny do przetwarzania tytoniu
Benzyna lakiernicza;Spisy;¯arówki pierœcieniowe;Materia³y do poœmiertnego zdejmowania odcisków palców lub innych odcisków;Czêœci maszyn do przetwarzania ¿ywnoœci, napojów i tytoniu
Ropa naftowa (surowa);Ulotki;Œwietlówki pierœcieniowe;Maski przeciwgnilne;Czêœci maszyn przetwórstwa ¿ywnoœci
Produkty pochodne ropy i wêgla;Broszury;¯arówki kuliste;Zestawy lub artyku³y do poœmiertnego wykrywania krwi;Czêœci maszyn mleczarskich
£upki olejowe lub bitumiczne;Informatory;Kompaktowe œwietlówki kuliste;Zestawy do zbierania dowodów biologicznych;Czêœci dojarek
Produkty pochodne wêgla;Gazety, dzienniki, czasopisma i magazyny;Oprawki do lamp;Sprzêt i artyku³y do balsamowania;Czêœci maszyn do przetwarzania napojów
Olej wêglowy;Gazety;Zap³onniki do lamp;Iniektory do jam do balsamowania;Czêœci maszyn do przetwarzania tytoniu
Energia elektryczna, cieplna, s³oneczna i j¹drowa;Dzienniki;Zap³onniki do œwietlówek;Rurki do opró¿niania ¿y³ podczas balsamowania;Piece przemys³owe lub laboratoryjne, piece do spopielania i paleniska
Elektrycznoœæ;Dzienniki urzêdowe;D³awiki do lamp;P³yny do balsamowania lub obróbki chemicznej;Palniki
Para, gor¹ca woda i podobne produkty;Czasopisma;D³awiki do œwietlówek;Rurki do wstrzykiwania podczas balsamowania;Piece do spalania odpadów
Gor¹ca woda;Wydawnictwa seryjne;Os³ony lamp;Zlewy lub akcesoria do balsamowania;Piece do spopielania
Para;Magazyny;Ramiona lamp;Zestawy do balsamowania;Piece inne ni¿ domowe
Wêze³ cieplny lokalny;Pocztówki, karty okolicznoœciowe i inne druki;Lampy fluorescencyjne;Ig³y do wstrzykiwania podczas balsamowania;Piece przemys³owe
Wêze³ cieplny dalekiego zasiêgu;Pocztówki;Œwietlówki;Nakrywki na oczy;Piece kremacyjne
Energia s³oneczna;Obrazki;¯arówki i œwietlówki;Sprzêt i artyku³y dla kostnic;Czêœci palników, palenisk lub pieców
Baterie s³oneczne;Przedruki;Sprzêt i aparatura elektryczna;Wyposa¿enie kostnic;Urz¹dzenia podnoœnikowe i prze³adunkowe oraz ich czêœci
Kolektory s³oneczne do produkcji ciep³a;Wzory;Sprzêt elektryczny do silników i pojazdów mechanicznych;Opakowania dla kostnic;Urz¹dzenia podnoœnikowe i prze³adunkowe
S³oneczne modu³y fotoelektryczne;Fotografie;Zestawy instalacji elektrycznej;Pokrowce dla kostnic;Wci¹gniki i wielokr¹¿ki
Instalacje s³oneczne;Karty okolicznoœciowe;Krosna elektryczne do silników;Odsysacze dla kostnic;Wyci¹garki odwiertowe, windy kopalnicze i przeci¹garki
Paliwa j¹drowe;Karty œwi¹teczne;Rozruszniki;Kompozycje utwardzaj¹ce dla kostnic;Wyci¹garki i windy kopalnicze
Uran;Znaczki, formularze czeków, œwiadectwa udzia³owe, handlowe materia³y reklamowe, katalogi i podrêczniki;Elektryczny sprzêt sygnalizacyjny do silników;Sprzêt transportowy i produkty pomocnicze dla transportu;Wyci¹garki odwiertowe
Pluton;Znaczki;Kierunkowskazy;Pojazdy silnikowe;Windy kopalniane do u¿ytku pod ziemi¹
Materia³y radioaktywne;Znaczki œwi¹teczne;DŸwiêkowa i wizualna aparatura sygnalizacyjna;Samochody osobowe;Przyci¹garki
Izotopy promieniotwórcze;Nowe znaczki;Alarmy przeciwpo¿arowe;Przyczepy mieszkalne i luksusowe przyczepy mieszkalne;Podnoœniki i wci¹gniki do pojazdów mechanicznych
Górnictwo, metale podstawowe i produkty pokrewne;Znaczki skarbowe;Systemy wykrywania ognia;Przyczepy mieszkalne;Wbudowane uk³ady podnoœnikowe
Piasek i glina;Ksi¹¿eczki na znaczki pocztowe;Systemy przeciwpo¿arowe;Luksusowe przyczepy mieszkalne;Podnoœniki hydrauliczne
¯wir, piasek, kamieñ kruszony i kruszywa;Papier ze znakiem wodnym;Alarmy antyw³amaniowe;Pojazdy z napêdem na 4 ko³a;Podnoœniki pneumatyczne
Piasek;Banknoty;Magnesy;Jeepy;Podnoœniki mechaniczne
Piasek naturalny;Formularze czeków;Maszyny i aparatura jednozadaniowa;Samochody poruszaj¹ce siê po ka¿dej nawierzchni;Wci¹gniki do pojazdów mechanicznych
Granulaty, od³amki, kamieñ sproszkowany, otoczaki, ¿wir, kamieñ roz³upany oraz pokruszony, mieszanki kamienia, mieszanki piasku i ¿wiru oraz inne kruszywo;Papiery wartoœciowe;Elektroniczna aparatura do wykrywania;Pojazdy terenowe;DŸwigi, bramownice drogowe i pojazdy techniczne wyposa¿one w dŸwig
Otoczaki i ¿wir;Paszporty;Aparatura do wykrywania przewodów metalowych;Pojazdy specjalne;DŸwigi
Otoczaki;Blankiety pocztowe;Aparatura do wykrywania min;Pojazdy pogotowia;DŸwigi portowe
¯wir;Formularze podatku drogowego;Aparatura do wykrywania tworzyw sztucznych;Pojazdy ratownicze;DŸwigi nabrze¿ne
Kruszywo;Prawa jazdy;Aparatura do wykrywania przedmiotów niemetalowych;Pojazdy paramedyczne;DŸwigi do uk³adania w stosy
Mieszanka piasku i ¿wiru;Dowody to¿samoœci;Aparatura do wykrywania drewna;Karetki;DŸwigi do przenoszenia kontenerów
Kamieñ pokruszony lub roz³upany;Bransoletki identyfikacyjne;Akceleratory cz¹stek;Pojazdy do transportu chorych;¯urawie wie¿owe
Podsypka;Pozwolenia;Akceleratory liniowe;Radiowozy policyjne;Suwnice napowietrzne
Granit kruszony;Wejœciówki;Ró¿ne rejestratory danych;Pojazdy do transportu wiêŸniów;Suwnice
Bazalt kruszony;Pozosta³e druki;Automaty bilardowe;Pojazdy opieki socjalnej;Suwnice mostowe
Gleby;Bilety;Oprawy izolowane;Minibusy;¯urawie bramowe
Warstwa uprawna gleby;Nalepki i taœmy reklamowe;Taœma elektryczna;Inne samochody pasa¿erskie;Bramownice drogowe
Podglebie;Handlowe materia³y reklamowe, handlowe katalogi i przewodniki;Elektrody wêglowe;Pojazdy silnikowe do transportu mniej ni¿ 10 osób;¯urawie platformowe
Od³amki kamienia;Katalogi;Elektryczne czêœci maszyn i aparatury;U¿ywane pojazdy transportowe;DŸwigi do pojazdów mechanicznych
Makadam, smo³obeton i piasek bitumiczny;Podk³adki do przyczepiania list;Szklane bañki do monochromatycznych lamp elektronopromieniowych;Pojazdy silnikowe do transportu 10 lub wiêcej osób;DŸwigi do pojazdów technicznych
Makadam;Materia³y reklamowe;Obudowy szklane;Autobusy i autokary;DŸwigi mostowe
Smo³obeton;Instrukcje;Lampy kineskopowe;Autobusy transportu publicznego;Wózki wid³owe, pojazdy techniczne, kolejowe wózki ci¹gn¹ce
Piaski smo³owe;Instrukcje komputerowe;Elektryczne artyku³y i akcesoria;Autobusy z przyczep¹;Pojazdy z podnoœnikami
Glinki i kaolin;Podrêczniki instrukcyjne;Akcesoria elektryczne;Autobusy piêtrowe;Wózki wid³owe
Glinki;Instrukcje techniczne;Styki elektryczne;Autobusy niskopod³ogowe;Pojazdy techniczne
Kaolin;Klisze lub cylindry, lub inne noœniki do u¿ytku w drukarstwie;Pompy elektryczne;Autokary;Pojazdy techniczne wyposa¿one w urz¹dzenia podnoœnikowe
Minera³y chemiczne i minera³y do produkcji nawozów;P³yty offsetowe;Obwody elektryczne;Pojazdy silnikowe do transportu towarów;Wyci¹garki kolejowe
Minera³y do produkcji nawozów;Sprzêt do wytrawiania;Elektryczne elementy sk³adowe;Pikapy;Pojazdy swobodnie sterowane
Wapñ naturalny, wapniowy fosforan glinu oraz surowe naturalne sole potasowe;Sprzêt wyt³aczaj¹cy;Tworzywa elektryczne;Sanie motorowe;Wyposa¿enie pojazdów ratowniczych
Wapñ naturalny;Tusz;Ogniwa do³adowawcze;Pojazdy ciê¿arowe z przyczep¹;Wyci¹gi pionowe i pochy³e, wyci¹gi, schody ruchome i chodniki ruchome
Fosforany wapniowo-glinowe;Farba drukarska;Wyroby elektryczne;Cysterny;Windy
Surowe sole potasowe;Farby reliefowe;Skrzynki elektryczne;Cysterny na paliwo;Windy wannowe
Piryty ¿elazowe;Tusz kreœlarski;Pokrywy skrzynek elektrycznych;Ciê¿arówki z platformami p³askimi i wywrotki;Windy towarowe
Piryty ¿elazowe niewypra¿one;Rejestry, ksiêgi rachunkowe, skoroszyty, formularze i inne wyroby piœmiennicze z papieru lub tektury;Panele przyrz¹dowe;Ciê¿arówki z platformami p³askimi;Windy mechaniczne
Minera³y chemiczne;Rejestry papierowe lub tekturowe;Aparatura i sprzêt steruj¹cy;Wywrotnice;Wyci¹gi pochy³e
Sole i czysty chlorek sodu;Ksiêgi rachunkowe;Sto³y miksuj¹ce;Samochody pó³ciê¿arowe;Wyci¹garki do kontenerów na odpady
Sól kamienna;Kwitariusze;Graficzne panele wyœwietlaj¹ce;Lekkie samochody pó³ciê¿arowe;Wci¹gniki
Sól morska;Notatniki;Urz¹dzenia œredniego napiêcia;Pó³ciê¿arówki z usztywnieniem;Schody ruchome
Sól warzona i czysty chlorek sodu;Bloki papierowe;Panele œredniego napiêcia;U¿ywane pojazdy do transportu towarów;Chodniki ruchome
Sól w solance;Bloczki notatkowe;Napowietrzne urz¹dzenia elektryczne;Drogowe pojazdy g¹sienicowe;Podnoœniki i przenoœniki
Podobne produkty wydobywcze i kopalne;Zeszyty do stenografii;Napowietrzne prowadnice kabli;Podwozia;Podnoœniki lub przenoœniki pneumatyczne
"Kamienie szlachetne i pó³szlachetne; pumeks; szmergiel; materia³y œcierne naturalne; inne minera³y i metale szlachetne";Bloczki samoprzylepnych karteczek na notatki;Awaryjny sprzêt elektryczny;Podwozia z kabin¹;Przenoœniki
Kamienie szlachetne i pó³szlachetne;Terminarze lub organizery osobiste;Awaryjne uk³ady energetyczne;Podwozia stanowi¹ce ca³oœæ z nadwoziem;Podnoœniki lub przenoœniki ci¹g³e, koszowe
Kamienie szlachetne;Ksi¹¿ki adresowe;Awaryjne urz¹dzenia wy³¹czeniowe;Podwozia pe³ne;Podnoœniki lub przenoœniki ci¹g³e, paskowe
Py³ lub proszek z kamieni szlachetnych;Formularze;Awaryjne urz¹dzenia energetyczne;Wysokowydajne pojazdy silnikowe;Opancerzone przenoœniki górnicze (AFCS)
Kamienie pó³szlachetne;Karty wyborcze;Podstacje;Ciê¿arówki wyposa¿one w dŸwig i pojazdy samowy³adowcze;Urz¹dzenia przenoœnikowe
Py³ lub proszek z kamieni pó³szlachetnych;Formularze urzêdowe;Urz¹dzenia elektroniczne, elektromechaniczne i elektrotechniczne;Pojazdy ciê¿arowe z ruchom¹ platform¹;Przenoœniki pasowe
